ID,target
test_0_Nucleus,0.16
test_1_Nucleus,0.74
test_2_Nucleus,0.65
test_3_Nucleus,0.77
test_4_Nucleus,0.65
test_5_Nucleus,0.56
test_6_Nucleus,0.73
test_7_Nucleus,0.59
test_8_Nucleus,0.6
test_9_Nucleus,0.59
test_10_Nucleus,0.56
test_11_Nucleus,0.8
test_12_Nucleus,0.71
test_13_Nucleus,0.65
test_14_Nucleus,0.83
test_15_Nucleus,0.56
test_16_Nucleus,0.64
test_17_Nucleus,0.72
test_18_Nucleus,0.79
test_19_Nucleus,0.58
test_20_Nucleus,0.48
test_21_Nucleus,0.86
test_22_Nucleus,0.77
test_23_Nucleus,0.83
test_24_Nucleus,0.73
test_25_Nucleus,0.72
test_26_Nucleus,0.73
test_27_Nucleus,0.61
test_28_Nucleus,0.56
test_29_Nucleus,0.56
test_30_Nucleus,0.69
test_31_Nucleus,0.67
test_32_Nucleus,0.57
test_33_Nucleus,0.72
test_34_Nucleus,0.7
test_35_Nucleus,0.83
test_36_Nucleus,0.54
test_37_Nucleus,0.56
test_38_Nucleus,0.8
test_39_Nucleus,0.75
test_40_Nucleus,0.75
test_41_Nucleus,0.81
test_42_Nucleus,0.56
test_43_Nucleus,0.44
test_44_Nucleus,0.64
test_45_Nucleus,0.7
test_46_Nucleus,0.91
test_47_Nucleus,0.64
test_48_Nucleus,0.5
test_49_Nucleus,0.77
test_50_Nucleus,0.71
test_51_Nucleus,0.74
test_52_Nucleus,0.7
test_53_Nucleus,0.78
test_54_Nucleus,0.59
test_55_Nucleus,0.67
test_56_Nucleus,0.69
test_57_Nucleus,0.72
test_58_Nucleus,0.7
test_59_Nucleus,0.67
test_60_Nucleus,0.49
test_61_Nucleus,0.7
test_62_Nucleus,0.73
test_63_Nucleus,0.72
test_64_Nucleus,0.72
test_65_Nucleus,0.74
test_66_Nucleus,0.57
test_67_Nucleus,0.86
test_68_Nucleus,0.48
test_69_Nucleus,0.45
test_70_Nucleus,0.48
test_71_Nucleus,0.25
test_72_Nucleus,0.43
test_73_Nucleus,0.82
test_74_Nucleus,0.53
test_75_Nucleus,0.63
test_76_Nucleus,0.66
test_77_Nucleus,0.63
test_78_Nucleus,0.58
test_79_Nucleus,0.7
test_80_Nucleus,0.79
test_81_Nucleus,0.75
test_82_Nucleus,0.73
test_83_Nucleus,0.91
test_84_Nucleus,0.59
test_85_Nucleus,0.81
test_86_Nucleus,0.7
test_87_Nucleus,0.69
test_88_Nucleus,0.4
test_89_Nucleus,0.58
test_90_Nucleus,0.75
test_91_Nucleus,0.74
test_92_Nucleus,0.23
test_93_Nucleus,0.69
test_94_Nucleus,0.87
test_95_Nucleus,0.88
test_96_Nucleus,0.87
test_97_Nucleus,0.55
test_98_Nucleus,0.57
test_99_Nucleus,0.63
test_100_Nucleus,0.64
test_101_Nucleus,0.8
test_102_Nucleus,0.74
test_103_Nucleus,0.7
test_104_Nucleus,0.74
test_105_Nucleus,0.8
test_106_Nucleus,0.65
test_107_Nucleus,0.69
test_108_Nucleus,0.82
test_109_Nucleus,0.67
test_110_Nucleus,0.23
test_111_Nucleus,0.75
test_112_Nucleus,0.67
test_113_Nucleus,0.68
test_114_Nucleus,0.38
test_115_Nucleus,0.71
test_116_Nucleus,0.72
test_117_Nucleus,0.59
test_118_Nucleus,0.7
test_119_Nucleus,0.69
test_120_Nucleus,0.63
test_121_Nucleus,0.64
test_122_Nucleus,0.74
test_123_Nucleus,0.7
test_124_Nucleus,0.48
test_125_Nucleus,0.71
test_126_Nucleus,0.67
test_127_Nucleus,0.73
test_128_Nucleus,0.78
test_129_Nucleus,0.67
test_130_Nucleus,0.76
test_131_Nucleus,0.59
test_132_Nucleus,0.94
test_133_Nucleus,0.84
test_134_Nucleus,0.69
test_135_Nucleus,0.75
test_136_Nucleus,0.67
test_137_Nucleus,0.7
test_138_Nucleus,0.65
test_139_Nucleus,0.35
test_140_Nucleus,0.64
test_141_Nucleus,0.62
test_142_Nucleus,0.62
test_143_Nucleus,0.83
test_144_Nucleus,0.57
test_145_Nucleus,0.64
test_146_Nucleus,0.74
test_147_Nucleus,0.67
test_148_Nucleus,0.61
test_149_Nucleus,0.57
test_150_Nucleus,0.61
test_151_Nucleus,0.59
test_152_Nucleus,0.66
test_153_Nucleus,0.54
test_154_Nucleus,0.84
test_155_Nucleus,0.81
test_156_Nucleus,0.63
test_157_Nucleus,0.68
test_158_Nucleus,0.81
test_159_Nucleus,0.66
test_160_Nucleus,0.81
test_161_Nucleus,0.47
test_162_Nucleus,0.85
test_163_Nucleus,0.59
test_164_Nucleus,0.6
test_165_Nucleus,0.79
test_166_Nucleus,0.4
test_167_Nucleus,0.56
test_168_Nucleus,0.73
test_169_Nucleus,0.79
test_170_Nucleus,0.59
test_171_Nucleus,0.64
test_172_Nucleus,0.91
test_173_Nucleus,0.86
test_174_Nucleus,0.83
test_175_Nucleus,0.83
test_176_Nucleus,0.7
test_177_Nucleus,0.59
test_178_Nucleus,0.65
test_179_Nucleus,0.77
test_180_Nucleus,0.7
test_181_Nucleus,0.76
test_182_Nucleus,0.91
test_183_Nucleus,0.8
test_184_Nucleus,0.79
test_185_Nucleus,0.82
test_186_Nucleus,0.71
test_187_Nucleus,0.73
test_188_Nucleus,0.61
test_189_Nucleus,0.55
test_190_Nucleus,0.54
test_191_Nucleus,0.68
test_192_Nucleus,0.7
test_193_Nucleus,0.64
test_194_Nucleus,0.77
test_195_Nucleus,0.59
test_196_Nucleus,0.54
test_197_Nucleus,0.67
test_198_Nucleus,0.39
test_199_Nucleus,0.87
test_200_Nucleus,0.7
test_201_Nucleus,0.7
test_202_Nucleus,0.7
test_203_Nucleus,0.79
test_204_Nucleus,0.62
test_205_Nucleus,0.66
test_206_Nucleus,0.62
test_207_Nucleus,0.42
test_208_Nucleus,0.62
test_209_Nucleus,0.67
test_210_Nucleus,0.59
test_211_Nucleus,0.69
test_212_Nucleus,0.59
test_213_Nucleus,0.76
test_214_Nucleus,0.77
test_215_Nucleus,0.68
test_216_Nucleus,0.66
test_217_Nucleus,0.65
test_218_Nucleus,0.62
test_219_Nucleus,0.66
test_220_Nucleus,0.36
test_221_Nucleus,0.8
test_222_Nucleus,0.64
test_223_Nucleus,0.46
test_224_Nucleus,0.53
test_225_Nucleus,0.57
test_226_Nucleus,0.68
test_227_Nucleus,0.66
test_228_Nucleus,0.45
test_229_Nucleus,0.88
test_230_Nucleus,0.82
test_231_Nucleus,0.74
test_232_Nucleus,0.68
test_233_Nucleus,0.52
test_234_Nucleus,0.72
test_235_Nucleus,0.64
test_236_Nucleus,0.61
test_237_Nucleus,0.58
test_238_Nucleus,0.83
test_239_Nucleus,0.72
test_240_Nucleus,0.52
test_241_Nucleus,0.75
test_242_Nucleus,0.68
test_243_Nucleus,0.69
test_244_Nucleus,0.67
test_245_Nucleus,0.66
test_246_Nucleus,0.69
test_247_Nucleus,0.67
test_248_Nucleus,0.58
test_249_Nucleus,0.39
test_250_Nucleus,0.69
test_251_Nucleus,0.58
test_252_Nucleus,0.74
test_253_Nucleus,0.79
test_254_Nucleus,0.9
test_255_Nucleus,0.41
test_256_Nucleus,0.63
test_257_Nucleus,0.59
test_258_Nucleus,0.7
test_259_Nucleus,0.78
test_260_Nucleus,0.76
test_261_Nucleus,0.76
test_262_Nucleus,0.8
test_263_Nucleus,0.41
test_264_Nucleus,0.75
test_265_Nucleus,0.73
test_266_Nucleus,0.48
test_267_Nucleus,0.84
test_268_Nucleus,0.64
test_269_Nucleus,0.74
test_270_Nucleus,0.78
test_271_Nucleus,0.77
test_272_Nucleus,0.83
test_273_Nucleus,0.72
test_274_Nucleus,0.66
test_275_Nucleus,0.8
test_276_Nucleus,0.72
test_277_Nucleus,0.73
test_278_Nucleus,0.64
test_279_Nucleus,0.48
test_280_Nucleus,0.6
test_281_Nucleus,0.7
test_282_Nucleus,0.64
test_283_Nucleus,0.55
test_284_Nucleus,0.67
test_285_Nucleus,0.54
test_286_Nucleus,0.67
test_287_Nucleus,0.6
test_288_Nucleus,0.41
test_289_Nucleus,0.61
test_290_Nucleus,0.62
test_291_Nucleus,0.55
test_292_Nucleus,0.66
test_293_Nucleus,0.53
test_294_Nucleus,0.11
test_295_Nucleus,0.7
test_296_Nucleus,0.73
test_297_Nucleus,0.58
test_298_Nucleus,0.89
test_299_Nucleus,0.64
test_300_Nucleus,0.54
test_301_Nucleus,0.88
test_302_Nucleus,0.83
test_303_Nucleus,0.58
test_304_Nucleus,0.51
test_305_Nucleus,0.89
test_306_Nucleus,0.58
test_307_Nucleus,0.62
test_308_Nucleus,0.67
test_309_Nucleus,0.77
test_310_Nucleus,0.67
test_311_Nucleus,0.6
test_312_Nucleus,0.83
test_313_Nucleus,0.68
test_314_Nucleus,0.56
test_315_Nucleus,0.75
test_316_Nucleus,0.63
test_317_Nucleus,0.66
test_318_Nucleus,0.47
test_319_Nucleus,0.62
test_320_Nucleus,0.73
test_321_Nucleus,0.66
test_322_Nucleus,0.53
test_323_Nucleus,0.92
test_324_Nucleus,0.63
test_325_Nucleus,0.57
test_326_Nucleus,0.73
test_327_Nucleus,0.78
test_328_Nucleus,0.62
test_329_Nucleus,0.8
test_330_Nucleus,0.61
test_331_Nucleus,0.49
test_332_Nucleus,0.42
test_333_Nucleus,0.65
test_334_Nucleus,0.52
test_335_Nucleus,0.43
test_336_Nucleus,0.42
test_337_Nucleus,0.64
test_338_Nucleus,0.71
test_339_Nucleus,0.83
test_340_Nucleus,0.63
test_341_Nucleus,0.53
test_342_Nucleus,0.64
test_343_Nucleus,0.63
